Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
OR4473312173020120804_OR4472312167920200817,1,Both,8,NA,NA,Cascades,Pacific Northwest,Mixed,2,1.86,16.34709677419355,817.4774113596291,311.31592421915,0.2740343931572246,0.006142210589184469,234.36,4967.267005420432,0.047180874260284236
OR4473312173020120804_OR4472312167920200817,1,Either,8,NA,NA,Cascades,Pacific Northwest,Mixed,2,21.2803738317757,728.6869636363637,640.8023236346829,110.64558629776022,477.86075377964363,0.19495630070685804,2277,4967.267005420432,0.458400967275419
OR4473312173020120804_OR4472312167920200817,1,Fire_1,8,OR4473312173020120804,2012,Cascades,Pacific Northwest,Mixed,2,24.957972972972975,572.4742551532576,580.8350562784318,104.15346880431427,395.46935210191396,0.14545624368723573,1846.89,4967.267005420432,0.3718121047216946
OR4473312173020120804_OR4472312167920200817,1,Fire_2,8,OR4472312167920200817,2020,Cascades,Pacific Northwest,Mixed,2,5.191171875,27.28484762291751,557.7955317661867,225.11174319382366,6.212464476425276,0.012628674869208184,664.47,4967.267005420432,0.13376973681400864
CA4189812322019870830_CA4188812325320120805,1,Both,25,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,6.898579881656805,56.74004631773969,532.793293247481,190.98348000617568,44.098429304398714,0.017323050754322233,1165.8600000000001,9284.161449441675,0.12557515359344723
CA4189812322019870830_CA4188812325320120805,1,Either,25,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,11.590826086956522,254.6279811620134,560.3971645735629,136.07463173649327,346.3012427129449,0.0752151935102329,2665.89,9284.161449441675,0.2871438647978617
CA4189812322019870830_CA4188812325320120805,1,Fire_1,25,CA4189812322019870830,1987,Klamath Mountains,Pacific Northwest,Low,2,11.705625,114.08763575204227,507.3927562953722,142.48847598198873,180.1434131356572,0.02956648282075143,1685.61,9284.161449441675,0.18155759237700114
CA4189812322019870830_CA4188812325320120805,1,Fire_2,25,CA4188812325320120805,2012,Klamath Mountains,Pacific Northwest,Low,2,9.171538461538463,81.98823366602366,514.3957134470261,163.66127093293076,159.26613575505067,0.02207307586322984,2146.14,9284.161449441675,0.23116142601430772
CA3986612313320120818_CA3966012280920200817,1,Both,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,1.1802061855670103,3.1874999999999996,751.7018085325692,402.5157232704403,0,9.651648209522002e-4,114.48,7832.859047371359,0.014615353002990461
CA3986612313320120818_CA3966012280920200817,1,Either,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,5.945604395604396,55.59295758247851,625.3557647979845,183.7538120321597,79.87047173417972,0.016338861611833677,1623.15,7832.859047371359,0.20722318506991586
CA3986612313320120818_CA3966012280920200817,1,Fire_1,8,CA3986612313320120818,2012,Klamath Mountains,Pacific Northwest,Low,2,6.309166666666667,52.918942015585785,572.5124243735842,184.16765728877735,66.3528163214955,0.0163158814970491,1362.78,7832.859047371359,0.17398244903402638
CA3986612313320120818_CA3966012280920200817,1,Fire_2,8,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,2.905813953488372,22.56614405762305,600.7777800169293,261.8647458983594,13.393754420810168,0.01003082010346751,374.84999999999997,7832.859047371359,0.047856089038879925
CA3986612313320120818_CA3966012280920200817,2,Both,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,1.2161538461538461,3.280132827324478,752.3278656881896,408.60215053763443,0,0.002338730088191385,47.43,3232.5235127266824,0.014672747100915
CA3986612313320120818_CA3966012280920200817,2,Either,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,9.739285714285714,118.72938330975954,585.4786222440778,145.0887945937451,92.85804708257234,0.08756316818287985,954.45,3232.5235127266824,0.29526467363416237
CA3986612313320120818_CA3966012280920200817,2,Fire_1,8,CA3986612313320120818,2012,Klamath Mountains,Pacific Northwest,Low,2,10.225555555555555,127.77372269911984,555.7002441565992,142.34488753667281,86.05419012099085,0.08745180008344215,828.27,3232.5235127266824,0.25623015478125377
CA3986612313320120818_CA3966012280920200817,2,Fire_2,8,CA3966012280920200817,2020,Klamath Mountains,Pacific Northwest,Low,2,3.215,28.49566096423017,635.2769962430983,241.23034387420077,6.0533234831801614,0.018153000208342655,173.61,3232.5235127266824,0.0537072659538236
CA3931912270720120707_CA3924012311020180727,1,Both,6,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,1.8726050420168068,14.126801292407109,783.8677311145583,317.4474959612278,0,0.006511309691573415,222.84,6537.855211385782,0.03408457250810946
CA3931912270720120707_CA3924012311020180727,1,Either,6,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,17.44263959390863,799.9393672079624,683.1950105508599,109.90047145102149,789.2668395869118,0.23852317764459316,3436.2,6537.855211385782,0.5255852093536426
CA3931912270720120707_CA3924012311020180727,1,Fire_1,6,CA3931912270720120707,2012,Klamath Mountains,Pacific Northwest,Low,2,19.956521739130434,808.9363411764706,583.6301505926523,105.63958916900093,758.7065710517942,0.23570115124549684,3213,6537.855211385782,0.4914455729157947
CA3931912270720120707_CA3924012311020180727,1,Fire_2,6,CA3924012311020180727,2018,Klamath Mountains,Pacific Northwest,Low,2,3.9825,27.0777602905569,593.5780618018924,262.4428302394404,0.6589951135908101,0.013339236979142998,446.04,6537.855211385782,0.06822420894595739
ID4624611454319880814_ID4631911465120120808,1,Both,24,NA,NA,Idaho Batholith,Northern Rockies,Mixed,2,3.7763999999999998,17.88443279313632,563.2255312032086,274.5471877979028,0.05305055958954617,0.030840866550806017,94.41,1062.2269625930412,0.08887931047196569
ID4624611454319880814_ID4631911465120120808,1,Either,24,NA,NA,Idaho Batholith,Northern Rockies,Mixed,2,30.492857142857144,333.9288025298665,715.3754583149052,103.91192316701803,108.67559249268923,0.4180462515430684,640.35,1062.2269625930412,0.6028372678818265
ID4624611454319880814_ID4631911465120120808,1,Fire_1,24,ID4624611454319880814,1988,Idaho Batholith,Northern Rockies,Mixed,2,30.834,336.8372154115587,738.8345815542835,103.23020042809887,98.04895967524087,0.4128778645661476,616.68,1062.2269625930412,0.5805538945223154
ID4624611454319880814_ID4631911465120120808,1,Fire_2,24,ID4631911465120120808,2012,Idaho Batholith,Northern Rockies,Mixed,2,4.7232,22.490121951219514,463.6954158564355,253.5569105691057,0.05305055958926678,0.04083872988321017,118.08,1062.2269625930412,0.11116268383147664
ID4565911500219880824_ID4569811508120120809,1,Both,24,NA,NA,Idaho Batholith,Northern Rockies,Mixed,2,3.8887912087912087,25.801937945066125,669.7312926017659,257.71447948457103,0.8183122259997879,0.032155435657340525,353.88,2135.5642862927234,0.16570795937701563
ID4565911500219880824_ID4569811508120120809,1,Either,24,NA,NA,Idaho Batholith,Northern Rockies,Mixed,2,25.779375,227.0288915557495,624.3570807045438,115.59628579048173,159.29449359928242,0.18416678089459776,1237.41,2135.5642862927234,0.5794299932539644
ID4565911500219880824_ID4569811508120120809,1,Fire_1,24,ID4565911500219880824,1988,Idaho Batholith,Northern Rockies,Mixed,2,14.1228,93.41669640581189,560.2386446177295,148.44081910102813,25.14235234518331,0.08365470482283216,706.14,2135.5642862927234,0.33065733704782924
ID4565911500219880824_ID4569811508120120809,1,Fire_2,24,ID4569811508120120809,2012,Idaho Batholith,Northern Rockies,Mixed,2,15.261206896551725,122.09802643619726,489.8729348651869,156.24470428740892,54.505210974762534,0.10839289713064196,885.15,2135.5642862927234,0.41448061558315075
ID4570211495320050808_ID4569811508120120809,1,Both,7,NA,NA,Idaho Batholith,Northern Rockies,High,2,0.9282089552238806,6.745571635311143,917.4699797315873,466.9561022672455,0,0.013645253429838565,62.190000000000005,1253.1830271914787,0.04962563221062342
ID4570211495320050808_ID4569811508120120809,1,Either,7,NA,NA,Idaho Batholith,Northern Rockies,High,2,11.338474576271187,246.92959639445715,799.1665434020572,141.71039060047534,55.81000187042133,0.3001237583331335,668.97,1253.1830271914787,0.5338166775999477
