Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
OR4473312173020120804_OR4472312167920200817,1,Both,8,NA,NA,Cascades,Pacific Northwest,Mixed,2,2.2193927125506074,20.303606961090132,779.5724372451808,294.7518196245827,4.2231908001966625,0.009747815035342902,548.19,4967.267005420432,0.11036048583693982
OR4473312173020120804_OR4472312167920200817,1,Either,8,NA,NA,Cascades,Pacific Northwest,Mixed,2,30.579090909090908,2544.78310283319,681.5903547729271,81.65611281228013,968.5482262075739,0.5583794865412594,3027.33,4967.267005420432,0.6094558630926193
OR4473312173020120804_OR4472312167920200817,1,Fire_1,8,OR4473312173020120804,2012,Cascades,Pacific Northwest,Mixed,2,29.175555555555555,1613.118945083403,593.147767707729,91.57843958666565,671.204895508838,0.39208683525059557,2363.22,4967.267005420432,0.47575860073984
OR4473312173020120804_OR4472312167920200817,1,Fire_2,8,OR4472312167920200817,2020,Cascades,Pacific Northwest,Mixed,2,7.923529411764706,133.33050334075722,597.0389377926723,179.85647117050235,58.775546761477976,0.06642284371666743,1212.3,4967.267005420432,0.24405774818971912
CA4189812322019870830_CA4188812325320120805,1,Both,25,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,9.309545454545454,115.4394594990479,629.9650830582482,161.74340445616264,122.37876190255488,0.02216032122237304,1843.29,9284.161449441675,0.19854135562354427
CA4189812322019870830_CA4188812325320120805,1,Either,25,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,15.67626050420168,557.8922930888915,563.4406094766856,119.26185019901096,658.8900154700782,0.11077252432548414,3730.9500000000003,9284.161449441675,0.40186181814237726
CA4189812322019870830_CA4188812325320120805,1,Fire_1,25,CA4189812322019870830,1987,Klamath Mountains,Pacific Northwest,Low,2,13.066685393258426,277.2362709437759,571.0923088676927,131.46048575371796,351.3258916475938,0.06743096868890064,2325.87,9284.161449441675,0.25052020181530466
CA4189812322019870830_CA4188812325320120805,1,Fire_2,25,CA4188812325320120805,2012,Klamath Mountains,Pacific Northwest,Low,2,14.4372,352.06240794613916,528.1396265637226,137.4227689579697,356.82578732010217,0.0687978126488108,3248.37,9284.161449441675,0.34988297195061685
CA3986612313320120818_CA3966012280920200817,1,Both,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,2.4346551724137933,11.351606118546846,677.3952622206588,301.67835139154454,0.20330880057063186,0.0036538382507476153,423.63,7832.859047371359,0.054083700145500076
CA3986612313320120818_CA3966012280920200817,1,Either,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,9.614541984732824,139.43355711172248,600.2848172163943,147.81997689568522,295.0534509654335,0.05153290740441212,2519.0099999999998,7832.859047371359,0.32159521635275157
