Reburn_ID,Polygon_ID,Reburn_Order,Reburn_Interval_1,Reburn_Interval_2,Fire_ID,Year,Ecoregion,N_Rockies,FRG_max4,class,patch_area_mean,patch_area_AW_mean,patch_PARA_mean,patch_PARA_AW_mean,class_total_core_ha,largest_patch_ind,class_area_ha,reburn_area_ha,class_prop
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,All,25,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,1.5321428571428573,6.307678321678322,820.1614930407067,353.3799533799534,0,0.008036340681214758,64.35,1825.4577029432892,0.03525143304950032
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Any,25,8,NA,NA,Klamath Mountains,Pacific Northwest,Low,2,15.700754716981132,157.70723556132384,679.6926992533384,130.57898911240898,83.37347725710947,0.13262427259182638,832.14,1825.4577029432892,0.45585279716878313
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_a,25,8,CA4189812322019870830,1987,Klamath Mountains,Pacific Northwest,Low,2,11.638636363636364,62.81702636203866,517.3906732626639,168.24838898652607,34.52276466787345,0.058325098318264164,512.1,1825.4577029432892,0.2805323832890305
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_b,25,8,CA4188812325320120805,2012,Klamath Mountains,Pacific Northwest,Low,2,12.026666666666667,74.91260254988913,546.2304299346318,155.94974131559496,61.54454674111946,0.0883504447897966,649.44,1825.4577029432892,0.3557683089303417
CA4189812322019870830_CA4188812325320120805_CA4190412319120200909,1,Fire_c,25,8,CA4190412319120200909,2020,Klamath Mountains,Pacific Northwest,Low,2,3.7134,24.01211342704799,564.9865698264039,257.87687833252545,0.44839702716383617,0.03313141679617373,185.67,1825.4577029432892,0.1017114774561107
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Any,10,12,NA,NA,Idaho Batholith,Northern Rockies,Low,2,0.86,2.775348837209302,794.292127625461,441.8604651162791,0,0.005127688405250577,15.48,1000.4508063998304,0.015473024661457882
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_a,10,12,ID4552311499419900707,1990,Idaho Batholith,Northern Rockies,Low,2,0.7476923076923077,1.8866666666666665,809.5421148052727,543.2098765432098,0,0.003418458936833718,9.72,1000.4508063998304,0.009715620136264251
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_b,10,12,ID4551811500220000731,2000,Idaho Batholith,Northern Rockies,Low,2,2.61,5.043103448275862,777.7777777777778,241.37931034482762,0,0.005127688405250577,5.22,1000.4508063998304,0.005217647850956727
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,Fire_c,10,12,ID4542411459020120730,2012,Idaho Batholith,Northern Rockies,Low,2,0.54,0.54,555.5555555555555,555.5555555555555,0,5.397566742369028e-4,0.54,1000.4508063998304,5.397566742369028e-4
ID4552311499419900707_ID4551811500220000731_ID4542411459020120730,1,All,10,12,NA,NA,Idaho Batholith,Northern Rockies,Low,2,NA,NA,NA,NA,0,NA,0,1000.4508063998304,0
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Any,9,13,NA,NA,Idaho Batholith,Northern Rockies,Low,2,2.8089473684210526,13.537790893760539,709.506963940939,260.0712010492786,0.7280688894172664,0.020507807824968315,160.11,1636.9375160190662,0.0978106973743127
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_a,9,13,ID4512611554919850708,1985,Idaho Batholith,Northern Rockies,Low,2,2.673947368421053,7.8209123117803365,617.4806633387798,281.6651904340124,0,0.008247107704410851,101.61,1636.9375160190662,0.062073230655199
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_b,9,13,ID4521611552119940811,1994,Idaho Batholith,Northern Rockies,Low,2,3.759230769230769,24.81895027624309,822.5374310480694,206.26151012891344,0.3984976525191887,0.01979305849058604,48.87,1636.9375160190662,0.029854529889967275
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,Fire_c,9,13,ID4510511570820070706,2007,Idaho Batholith,Northern Rockies,Low,2,0.6726315789473685,1.788591549295775,876.996382622517,530.5164319248827,0,0.00203428656708801,12.78,1636.9375160190662,0.007807261960175604
ID4512611554919850708_ID4521611552119940811_ID4510511570820070706,1,All,9,13,NA,NA,Idaho Batholith,Northern Rockies,Low,2,NA,NA,NA,NA,0,NA,0,1636.9375160190662,0
