Fire_ID,Ig_Day,Order,Reburn_Polygon_ID,Year,gm_Date,eddi30d,spei30d,FRG_max4
OR4291712307519870715,196,First,OR4291712307519870715_OR4294312309320040820_1,1987,1987-215,-1.279999971,2.089999914,Low
OR4291712307519870715,196,First,OR4291712307519870715_OR4292412304820150730_1,1987,1987-215,-1.279999971,2.089999914,Low
CA4174812318019870901,244,First,CA4174812318019870901_CA4179612337420140814_1,1987,1987-260,0.699809129,-0.858179669,Low
CA3935312277119870901,244,First,CA3935312277119870901_CA3924012311020180727_1,1987,1987-260,-0.196389433,0.139869589,Low
OR4457412175119870901,244,First,OR4457412175119870901_OR4451112177120030819_1,1987,1987-260,1.157361224,-1.242439098,Mixed
ID4554211520319880906,250,First,ID4554211520319880906_ID4555111522320030809_1,1988,1988-265,1.00663029,-1.612829433,Mixed
ID4612911474719880811,224,First,ID4612911474719880811_ID4610311477420070724_1,1988,1988-240,1.102628982,-1.129999995,Mixed
CA4018412304519880928,272,First,CA4018412304519880928_CA3966012280920200817_1,1988,1988-290,0.017750854,0.228220652,Low
MT4724011275119880625,177,First,MT4724011275119880625_MT4721611299020070715_1,1988,1988-195,1.184034547,-0.531427409,High
MT4724011275119880625,177,First,MT4724011275119880625_MT4726811348520170724_1,1988,1988-195,1.116403926,-0.510906669,Low
ID4538711500819880625,177,First,ID4538711500819880625_ID4540111516420000731_1,1988,1988-195,0.793049253,-0.042027293,Low
ID4538711500819880625,177,First,ID4538711500819880625_ID4537411488820070616_1,1988,1988-195,0.797893089,-0.056958155,Low
MT4781311293519880711,193,First,MT4781311293519880711_MT4775511289820010929_1,1988,1988-210,0.785745144,-0.540000021,High
MT4781311293519880711,193,First,MT4781311293519880711_MT4780411300920130718_1,1988,1988-210,0.800000012,-0.531839039,High
ID4527011497119880711,193,First,ID4527011497119880711_ID4537411488820070616_1,1988,1988-210,0.133499271,-0.576861445,Low
ID4527011497119880711,193,First,ID4527011497119880711_ID4549011522720170729_1,1988,1988-210,0.192090038,-0.536165814,High
WY4408111047019880820,233,First,WY4408111047019880820_WY4402111078620160725_1,1988,1988-250,2.089999914,-2.089999914,High
ID4557911514619880813,226,First,ID4557911514619880813_ID4551811500220000731_1,1988,1988-245,0.683681271,-0.791883401,Low
ID4557911514619880813,226,First,ID4557911514619880813_ID4558311517420140803_1,1988,1988-245,0.703753063,-0.879166727,Low
ID4557911514619880813,226,First,ID4557911514619880813_ID4560811517420150724_1,1988,1988-245,0.743239968,-0.909052478,Low
ID4557911514619880813,226,First,ID4557911514619880813_ID4555111522320030809_1,1988,1988-245,0.709676434,-0.959253889,Low
ID4624611454319880814,227,First,ID4624611454319880814_ID4631911465120120808_1,1988,1988-245,0.961812757,-1.279999971,Mixed
ID4624611454319880814,227,First,ID4624611454319880814_ID4624611454720170813_1,1988,1988-245,0.899999976,-1.22347347,Mixed
WY4470811082119880722,204,First,WY4470811082119880722_WY4474311097820160809_1,1988,1988-220,1.973528385,-2.089999914,High
